,point/80,RSI/10,BOLL/20,KDJ/20,Volume/20,MACD/10,stock
0,60,10,30,0,20,0,1385.HK
1,50,10,20,0,20,0,0700.HK
2,45,10,15,0,20,0,0291.HK
3,45,10,15,0,20,0,1113.HK
4,45,10,15,0,20,0,1876.HK
5,40,0,20,0,20,0,0669.HK
6,40,0,20,0,20,0,0710.HK
7,40,0,20,0,20,0,0960.HK
8,40,0,20,0,20,0,1024.HK
9,40,0,20,0,20,0,1108.HK
10,40,0,20,0,20,0,1171.HK
11,40,0,20,0,20,0,1797.HK
12,40,0,20,0,20,0,1910.HK
13,40,0,20,0,20,0,1952.HK
14,40,0,20,0,20,0,2137.HK
15,40,0,20,0,20,0,2246.HK
16,40,0,20,0,20,0,2333.HK
17,40,0,20,0,20,0,3319.HK
18,40,0,20,0,20,0,6098.HK
19,40,0,20,0,20,0,6969.HK
20,40,0,20,0,20,0,7568.HK
21,40,0,20,0,20,0,9666.HK
22,40,0,20,0,20,0,9939.HK
23,40,0,20,0,20,0,9992.HK
24,40,10,10,0,20,0,0285.HK
25,40,10,10,0,20,0,0763.HK
26,40,10,10,0,20,0,0836.HK
27,40,10,10,0,20,0,0868.HK
28,40,10,10,0,20,0,0916.HK
29,40,10,10,0,20,0,3690.HK
30,40,10,10,0,20,0,3898.HK
31,35,10,5,0,20,0,0002.HK
32,30,0,10,0,20,0,0175.HK
33,30,0,10,0,20,0,0268.HK
34,30,0,10,0,20,0,0322.HK
35,30,0,10,0,20,0,0388.HK
36,30,0,10,0,20,0,0558.HK
37,30,0,10,0,20,0,0688.HK
38,30,0,10,0,20,0,0853.HK
39,30,0,10,0,20,0,0867.HK
40,30,0,10,0,20,0,0968.HK
41,30,0,10,0,20,0,0981.HK
42,30,0,10,0,20,0,1109.HK
43,30,0,10,0,20,0,1308.HK
44,30,0,10,0,20,0,1347.HK
45,30,0,10,0,20,0,1368.HK
46,30,0,10,0,20,0,1585.HK
47,30,0,10,0,20,0,1799.HK
48,30,0,10,0,20,0,1801.HK
49,30,0,10,0,20,0,1810.HK
50,30,0,10,0,20,0,1919.HK
51,30,0,10,0,20,0,1928.HK
52,30,0,10,0,20,0,2015.HK
53,30,0,10,0,20,0,2202.HK
54,30,0,10,0,20,0,2269.HK
55,30,0,10,0,20,0,2318.HK
56,30,0,10,0,20,0,2319.HK
57,30,0,10,0,20,0,2331.HK
58,30,0,10,0,20,0,2382.HK
59,30,0,10,0,20,0,2601.HK
60,30,0,10,0,20,0,2618.HK
61,30,0,10,0,20,0,2822.HK
62,30,0,10,0,20,0,3668.HK
63,30,0,10,0,20,0,3908.HK
64,30,0,10,0,20,0,3968.HK
65,30,0,10,0,20,0,6618.HK
66,30,0,10,0,20,0,6690.HK
67,30,0,10,0,20,0,6862.HK
68,30,0,10,0,20,0,6865.HK
69,30,0,10,0,20,0,9618.HK
70,30,0,10,0,20,0,9868.HK
71,30,0,10,0,20,0,9888.HK
72,30,0,10,0,20,0,9922.HK
73,30,0,10,0,20,0,9926.HK
74,30,0,10,0,20,0,9988.HK
75,30,0,10,0,20,0,9999.HK
76,25,0,5,0,20,0,0005.HK
77,25,0,5,0,20,0,0027.HK
78,25,0,5,0,20,0,0083.HK
79,25,0,5,0,20,0,0168.HK
80,25,0,5,0,20,0,0384.HK
81,25,0,5,0,20,0,0823.HK
82,25,0,5,0,20,0,0914.HK
83,25,0,5,0,20,0,0941.HK
84,25,0,5,0,20,0,1088.HK
85,25,0,5,0,20,0,1099.HK
86,25,0,5,0,20,0,1211.HK
87,25,0,5,0,20,0,1299.HK
88,25,0,5,0,20,0,1929.HK
89,25,0,5,0,20,0,2388.HK
90,25,0,5,0,20,0,2628.HK
91,25,0,5,0,20,0,2800.HK
92,25,0,5,0,20,0,2823.HK
93,25,0,5,0,20,0,2828.HK
94,25,0,5,0,20,0,6030.HK
95,25,0,5,0,20,0,6823.HK
